UF Code;EIC Code;Short Description;Large Description;Maximum Power Capacity MW;Production Type;BRP Code;UP Code
ADRANO;18WADRANO-123-ER;ADRANO;P.E. DE ADRAÑO;21,6;Wonshore wind;EGED;EADRAG
ADSEC01;18W-ADSEC01-5--H;ADSEC01;ADSEC01;16,0;Competitive suppliers;ADSSM;ADSEC01
ADSNC01;18W000000000JZUQ;ADS;ADS SOLUTIONS;1,0;Competitive suppliers;ADSEN;ADSNC01
ADURC01;18W-ADURC01-7--K;ADURC01;ADURC01;0,0;Competitive suppliers;ADUR;ADURC01
ADXC01;18W000000000Q063;ADXC01;ADX RENOVABLES;0,1;Competitive suppliers;ADXRA;ADXC01
AEDEC01;18W000000000OWY7;AED;AED ENERGIA;0,1;Competitive suppliers;AEDEN;AEDEC01
AEIDG87;18WAEIDG87-12--B;AEIDG87;AEROGENERADOR G87;2,0;Wonshore wind;WMARK;AEIDGEN
AEIDG90;18WAEIDG90-123-3;AEIDG90;AEROGENERADOR G90;2,0;Wonshore wind;WMARK;AEIDGEN
AENEC01;18W-AENEC01-3--R;AVAENERC;AVALIA ENERGIA UP;2,5;Competitive suppliers;AENER;AENEC01
AEQC01;18W000000000T27K;AEQ;AEQ COMER;1,0;Competitive suppliers;AEQ;AEQC01
AEROGEN;18WAEROGEN-123-0;AEROGEN;18WAEROGEN-123-0;1,6;Wonshore wind;EGLE;EENRES
AFAP;18WAFAP-123456-S;AFAP;TERMICA AFAP;7,8;Biomass;EGLE;RAFAP
AFRICNA;18W000000000QV1V;AFRICNA;AFRICANAA;49,9;Solar thermal;GESTE;TAFRICA
AFRODI1;18W000000000SN9V;AFRODI1;PSF AFRODITA;40,8;Solar PV;WMARK;FVAFROD
AG41AG;18W000000000OSRX;AG41AG;AG41AG;1,0;Competitive suppliers;FORTI;FORTR01
AGA1;18WAGA1-12345-AX;AGUILA 1;EL AGUILA 1;0,2;Hydro UGH;IBEG;EBRA
AGA2;18WAGA2-12345-AN;AGUILA 2;EL AGUILA 2;0,2;Hydro UGH;IBEG;EBRA
AGALGPA;18WAGALGPA-123-B;AGALGPA;18WAGALGPA-123-B;5,3;Biomass;EGLE;ROLEIC
AGATC;18W000000000SIKO;AGATC;AGATC;18,0;Solar PV;GNRA;UPAGA
AGBAENA;18WAGBAENA-123-X;AGBAENA;AGROENERGÉTICA DE BAENA;20,0;Biomass;EGLE;ROLEIC
AGBARS;18W000000000TRY2;AGBARS;AGBARS;1,0;Competitive suppliers;ENDCO;ENDER01
AGBTC;18W000000000SIS8;AGBTC;AGBTC;22,0;Solar PV;GNRA;UPAGB
AGEAG;18W000000000O6RP;AGEAG;AGEAG;4,5;Solar PV;GNRA;FVGNRA
AGENC01;18WAGENC01UF---E;AGENC01;AGUAS BARBASTRO ENERGÍA COMPRA;9,0;Competitive suppliers;ABESL;AGENC01
AGENORR;18W000000000QR8T;AGENR;AGNORR;40,0;Solar PV;GNRA;FAGENOR
AGL1;18WAGL1-12345-AN;AGUILAR 1;AGUILAR 1;4,9;Hydro UGH;REPSB;VIES
AGL2;18WAGL2-12345-AD;AGUILAR 2;AGUILAR 2;4,9;Hydro UGH;REPSB;VIES
AGM1;18WAGM1-12345-AC;AIGUAMOIX;AIGUAMOIX;31,5;Hydro UGH;ENDG;EBRFEN
AGMAC01;18W-AGMAC01-3--E;AGMARQUES;AGMARQUES;0,5;Market direct consumption;AGMA;AGMAC01
AGON2;18W000000000RPM3;AGON2;AGON2;9,0;Wonshore wind;CEG;EAGON2
AGREDA;18WAGREDA-1234-K;AGREDA;18WAGREDA-1234-K;18,0;Wonshore wind;ECYR;EREGPEM
AGRIC01;18W-AGRIC01-1--B;AGRIC01;AGRIC01;0,0;Competitive suppliers;AGREN;AGRIC01
AGROBO1;18W000000000QMYT;AGROBO1;UF SOLAR ALGARROBO I;1,8;Solar PV;NEXU;FAGROB1
AGROBO2;18W000000000QMZR;AGROBO2;UF SOLAR ALGARROBO II;1,8;Solar PV;NEXU;FAGROB2
AGROBO3;18W000000000QN0K;AGROBO3;UF SOLAR ALGARROBO III;1,7;Solar PV;NEXU;FAGROB3
AGRSRAD;18W000000000TRUA;AGRSRAD;AGRSRAD;1,0;Competitive suppliers;ENDCO;ENDER01
AGU1;18WAGU1-12345-FP;AGUAYO 1 G;AGUAYO GR.1 GENERACION;90,0;Turbine pumping;REPSB;AGUG
AGU1B;18WAGU1B-12345-6;AGUAYO 1 B;AGUAYO GR.1 BOMBEO;90,0;Pump consumption;REPSB;AGUB
AGU2;18WAGU2-12345-FF;AGUAYO 2 G;AGUAYO GR.2 GENERACION;89,2;Turbine pumping;REPSB;AGUG
AGU2B;18WAGU2B-12345-X;AGUAYO 2 B;AGUAYO GR.2 BOMBEO;90,0;Pump consumption;REPSB;AGUB
AGU3;18WAGU3-12345-F5;AGUAYO 3 G;AGUAYO GR.3 GENERACION;90,5;Turbine pumping;REPSB;AGUG
AGU3B;18WAGU3B-12345-N;AGUAYO 3 B;AGUAYO GR.3 BOMBEO;90,0;Pump consumption;REPSB;AGUB
AGU4;18WAGU4-12345-FW;AGUAYO 4 G;AGUAYO GR.4 GENERACION;90,7;Turbine pumping;REPSB;AGUG
AGU4B;18WAGU4B-12345-D;AGUAYO 4 B;AGUAYO GR.4 BOMBEO;90,0;Pump consumption;REPSB;AGUB
AGUALLA;18WAGUALLA-12-EI;AGUALLA;AGUALLA;36,8;Wonshore wind;EGED;EGREEN
AGUDO;18W000000000OA3O;AGUDO;UF SOLAR AGUDO;1,0;Solar PV;NEXU;FAGUDO
AGUERAS;18W000000000T9TT;AGUERAS;AGUERAS;2,9;Hydro non UGH;DETIC;HYAGUER
AGUILA;18WAGUILA-123-E8;AGUILA;AGUILA;19,5;0;NEXU;EHIBAGI
AGUILAR;18WAGUILAR-12-EI;AGUILAR;AGUILAR;100,0;Wonshore wind;EGED;EGREEN
AGUILI;18W000000000MHKE;AGUILI;AGUILI;47,2;0;NEXU;EHIBAGL
AGUILON;18WSANCRAGUILONK;AGUILON;P.E. SAN CRISTOBAL DE AGUILON;50,0;Wonshore wind;ECYR;EREGPES
AGUIR;18W000000000QY2K;AGUIR;AGUIR;51,7;Solar PV;GNRA;FVGNRA
AGV1;18WAGV1-12345-AO;AGAVANZA 1;NTRA. Sª AGAVANZAL 1;11,2;Hydro UGH;IBEG;DUER
AGV2;18WAGV2-12345-AE;AGAVANZA 2;NTRA. Sª AGAVANZAL 2;11,3;Hydro UGH;IBEG;DUER
AGV3;18WAGV3-12345-A4;AGAVANZA 3;NTRA. Sª AGAVANZAL 3;1,5;Hydro UGH;IBEG;DUER
AHOEC01;18W000000000NET1;AHOEC01;AHOEC01;0,1;Competitive suppliers;AHOE;AHOEC01
AHORC01;18W000000000P1SY;AHORA PEN;PENINSULA;10,0;Competitive suppliers;ALENE;AHORC01
AHTC01;18W000000000SS6M;AHTC01;COMPRA COMERCIALIZADORA;1,0;Competitive suppliers;COMED;AHTC01
AI83CB;18W000000000TYRW;AI83CB;AI83CB;1,0;Competitive suppliers;FORTI;FORTR01
AIADHES;18W000000000OGHF;AIADHES;AIADHES;1,0;Natural Gas Cogeneration;DETIC;COGAIAD
AIBAR;18WAIBAR-1234-EJ;AIBAR;AIBAR;36,8;Wonshore wind;EGED;EGREEN
AIELO;18W000000000P2M6;AIELO;UF SOLAR AIELO;1,5;Solar PV;NEXU;FAIELO
AIRAS;18W000000000SRLW;PE AIRAS;PE AIRAS;23,3;Wonshore wind;SHEEN;SHEPV34
AIREB1;18W000000000N4IG;AIREB1;AIREB1;4,5;Solar PV;AIREL;AIREV02
AIREB2;18W000000000N4JE;AIREB2;AIREB2;4,5;Solar PV;AIREL;AIREV02
AIREC01;18W000000000D8YC;AIREL;COMERCIALIZADORES;1,0;Competitive suppliers;AIREL;AIREC01
AIREV01;18W000000000HFI7;AIREV01;AIREV01;3,3;Solar PV;AIREL;AIREV01
AITGN;18W000000000MBE7;AITGN;AITGN;42,2;Solar PV;GNRA;HABGN
AITONA;18W000000000QCVS;AITONA;AITONA;4,8;Hydro non UGH;EGED;HESEGRE
AIZEC01;18W000000000RD09;UP AIZEN;UPROGRAMACIN AIZEN;0,1;Competitive suppliers;AIZEE;AIZEC01
AIZKIB;18WAIZKIB-123-E2;AIZKIB;AIZKIB;12,0;Wonshore wind;EGED;EGREEN
AJENC01;18W000000000RVIU;AJENC01;ESAJENEUP;0,0;Competitive suppliers;AJENE;AJENC01
AL11;18WAL11-12345-AZ;ALDEA I G1;ALDEADAVILA I 1;132,9;Hydro UGH;IBEG;DUER
AL12;18WAL12-12345-AP;ALDEA I G2;ALDEADAVILA I 2;132,7;Hydro UGH;IBEG;DUER
AL13;18WAL13-12345-AF;ALDEA I G3;ALDEADAVILA I 3;133,0;Hydro UGH;IBEG;DUER
AL14;18WAL14-12345-A5;ALDEA I G4;ALDEADAVILA I 4;133,1;Hydro UGH;IBEG;DUER
AL15;18WAL15-12345-AW;ALDEA I G5;ALDEADAVILA I 5;131,8;Hydro UGH;IBEG;DUER
AL16;18WAL16-12345-AM;ALDEA I G6;ALDEADAVILA I 6;134,3;Hydro UGH;IBEG;DUER
AL21;18WAL21-12345-AO;ALDEA IIG1;ALDEADAVILA II GR.1 GENERAC.;216,2;Hydro UGH;IBEG;DUER
AL21B;18WAL21B-12345-W;ALDEA IIB1;ALDEADAVILA II GR.1 BOMBEO;200,0;Pump consumption;IBEG;DUEB
AL22;18WAL22-12345-AE;ALDEA IIG2;ALDEADAVILA II GR.2 GENERAC.;212,2;Hydro UGH;IBEG;DUER
AL22B;18WAL22B-12345-M;ALDEA IIB2;ALDEADAVILA II GR.2 BOMBEO;200,0;Pump consumption;IBEG;DUEB
AL83AL;18W000000000OSL8;AL83AL;AL83AL;1,0;Competitive suppliers;FORTI;FORTR01
AL83AM;18W000000000OSM6;AL83AM;AL83AM;1,0;Competitive suppliers;FORTI;FORTR01
ALABRA;18WALABRA-123--T;ALABRA;ALABRA;18,7;Wonshore wind;EGED;EGREEN
ALACON;18W000000000F63Z;ALACON;PE ALACON;39,9;Wonshore wind;ECYR;EEGPES
ALAHC01;18W000000000PRVO;UP_HALAHUR;UP_HALAHURIN;0,1;Competitive suppliers;ALAHU;ALAHC01
ALAIX;18W000000000TV2H;ALAIX;ALAIX;8,0;Solar PV;GNRA;UPSON2
ALAIZ;18WALAIZ-1234-ER;ALAIZ;ALAIZ;33,1;Wonshore wind;EGED;EGREEN
ALAMAK;18W000000000RGG5;ALAMAK;UF SOLAR ALAMAK;19,1;Solar PV;NEXU;FVALMK
ALAMILL;18W000000000R6X1;ALAMILL;UF SOLAR ALAMILLA;2,4;Solar PV;NEXU;FALAMIL
ALAMO;18W000000000PA5G;ALAMO;FV ALAMO;15,0;Solar PV;CEG;FVALAMO
ALAMOFW;18WALAMOFW-123-H;ALAMOFW;UF FUENTE ALAMO III FW;9,6;Solar PV;GNRA;FFATFW
ALARCO;18WALARCO-1234-P;ALARCO;C.H. EN ALARCON;15,8;Hydro non UGH;IBGES;HFIBGES
ALARCOS;18W000000000I2MY;PV ALARCOS;PV ALARCOS;45,0;Solar PV;ADXRE;ALARCOS
ALARCS;18W000000000GEP0;ALARCOS;FV ALARCOS;43,7;Solar PV;NEXU;FALARCO
ALASE;18W000000000O6OV;ALASE;ALASE;1,5;Solar PV;GNRA;FVGNRA
ALB1;18WALB1-12345--L;ALBARELLOS;ALBARELLOS;67,6;Hydro UGH;GNFG;UFMI
ALBA1;18W000000000Q2SR;ALBA1;ALBA1;5,2;Solar PV;CEG;FYALBA1
ALBA2;18W000000000Q2UN;ALBA2;ALBA2;4,7;Solar PV;CEG;FYALBA2
ALBACET;18W000000000TFAC;ALBACET;GENERACIN BIOGAS ALBACETE;1,0;Biogas;EGLE;RPREZO
ALBAR;18W000000000IDI9;ALBAR;ALBAR;2,0;Solar PV;GNRA;FVGNRA
ALBCC01;18W0000000005T60;ALBCOUP;ALBCO_UNIDAD DE PROGRAMACION;520,0;Competitive suppliers;ALBCO;ALBCC01
ALBEI;18W000000000N0LM;ALBEI;ALBERIZAS I;4,4;Solar PV;ADXRE;FAUDAX
ALBEII;18W000000000N0MK;ALBEII;ALBERIZAS II;4,4;Solar PV;ADXRE;FAUDAX
ALBEIII;18W000000000N0KO;ALBEIII;ALBERIZAS III;4,4;Solar PV;ADXRE;FAUDAX
ALBEIV;18W000000000N0NI;ALBEIV;ALBERIZAS IV;4,4;Solar PV;ADXRE;FAUDAX
ALBETA1;18W000000000RXVZ;ALBETA1;UF SOLAR ALBETA 1;1,9;Solar PV;NEXU;FALBET1
ALBETA2;18W000000000RXXV;ALBETA2;UF SOLAR ALBETA 2;1,9;Solar PV;NEXU;FALBET2
ALBFW;18W000000000QZ93;ALBFW;ALBFW;1,2;Solar PV;GNRA;FVGNRA
ALBUREJ;18WALBUREJ-123-Z;ALBUREJ;PARQUE EÓLICO ALBUREJOS;10,0;Wonshore wind;IBGES;EHIBGES
ALC1;18WALC1-12345-AP;ALCALA J 1;ALCALA DEL JUCAR 1;0,5;Hydro UGH;BARER;BERJUCA
ALC2;18WALC2-12345-AF;ALCALA J 2;ALCALA DEL JUCAR 2;0,5;Hydro UGH;BARER;BERJUCA
ALCAC01;18W-ALCAC01-8--2;ALCAC01;ALCAC01;2,0;Competitive suppliers;ALCAN;ALCAC01
ALCANAD;18WALCANAD-123-1;ALCANAD;C.H. ALCANADRE;1,2;Hydro non UGH;EGED;HFEGED
ALCARA1;18WALCARA1-12-EV;ALCARA1;ALCARA1;6,8;Wonshore wind;IBGES;ERRIBGE
ALCARA2;18WALCARA2-12-EO;ALCARA2;P.E. DE ALCARAMA II;45,0;Wonshore wind;IBGES;ERRIBGE
ALCARDE;18W000000000U1V8;FV ALCARDE;UF AGRUPACION 4500211441ET;2,0;Solar PV;INTRA;INTRE02
ALCARRA;18WALCARRA-123-Z;ALCARRA;PLANTA DE PURINS D'ALCARRAS;14,6;Natural Gas Cogeneration;FUTGR;TIGALC
ALCASUR;18W000000000P261;ALCSUR;ALCALSUR;4,7;Solar PV;GESTE;FALCSUR
ALCAZ1;18W000000000G1VR;ALCAZ1;ALCAZAR I;36,0;Solar PV;GALP;GALPS2
ALCAZA2;18W000000000U87Z;ALCAZARES2;ALCAZARES SOLAR 2020;1,7;Solar PV;ELEIA;ALCAZA2
ALCB;18WALCB-12345--L;ALCOBA;ALCOBA;7,7;Hydro UGH;GNFG;UFGC
ALCNCH;18W000000000SQNV;ALCNCH;UF SOLAR ALCONCHEL;6,4;Solar PV;NEXU;FALCNCH
ALCNORT;18W000000000P245;ALCALNR;ALCALNORTE;4,7;Solar PV;GESTE;FALCNOR
ALCOAS;18W000000000TRZ0;ALCOAS;ALCOAS;1,0;Competitive suppliers;ENDCO;ENDER01
ALCOLEA;18WALCOLEA-123-G;ALCOLEA;18WALCOLEA-123-G;2,6;Hydro non UGH;EGLE;HALCOL
ALCON1;18W000000000QF7U;ALCON1;UF SOLAR FV ALCON1;23,1;Solar PV;NEXU;FALCON1
ALCONCH;18W000000000L17I;ALCONCHEL;UF ALCONCHEL;10,0;Solar PV;EBLCO;FALCONC
ALCORE;18W000000000GEVP;ALCORE;UF FV ALCORE;33,2;Solar PV;NEXU;FALCORE
ALDDC01;18W000000000PPP5;ALDDC01;COMPRA ALDERAAN;1,0;Competitive suppliers;ALDEC;ALDDC01
ALDEA;18W000000000SNM5;ALDEA;ALDEA;4,8;Solar PV;GNRA;UPALDEA
ALDEC0F;18W000000000QWU7;ALDEC01;COMPRA COMERCIALIZADORA;1,0;Competitive suppliers;ALDEF;ALDEC01
ALDEH;18WALDEH-1234-AJ;ALDEH;P.E: ALDEHUELAS;47,2;Wonshore wind;HISPE;ALDEHU
ALDENG;18W000000000SG1V;ALDENG;ALDEBARAN;6,0;Biomass;PULSA;RALDENG
ALDEVIE;18WALDEVIE-12-EB;ALDEVIE;P. E. ALDEAVIEJA;24,0;Wonshore wind;ECYR;EEGPEM
ALDIX;18W000000000TTGW;ALDIX;ALDIX;1,8;Solar PV;GNRA;UPSON3
ALDRC01;18W-ALDRC01-1--F;ALDRO ENER;ALDRO ENER;70,0;Competitive suppliers;ALDRO;ALDRC01
ALDRV01;18W000000000E07C;ALDRV01;ALDRO REPRESENTACION;1,8;Solar PV;ALDRO;ALDRV01
ALENTIS;18WALENTIS-123-X;ALENTIS;ALENTISQUE;46,0;Wonshore wind;EBLCO;EALENTI
ALESTE;18WALESTE-123-EV;ALESTE;ALESTE;14,2;Wonshore wind;EGED;EFEGEL2
ALFRV1;18W000000000SY3A;ALFRV1;ALFRV1;43,2;Solar PV;GNRA;UPALC1
ALFRV2;18W000000000SY48;ALFRV2;ALFRV2;27,1;Solar PV;GNRA;UPALC2
ALG3TG1;18WALG3TG1-123-9;ALG3TG1;CCTG ALGECIRAS TG1;282,4;Combined Cycle GT;REPSB;ALG3
ALG3TG2;18WALG3TG2-123-2;ALG3TG2;CCTG ALGECIRAS TG2;279,6;Combined Cycle GT;REPSB;ALG3
ALG3TV1;18WALG3TV1-123-0;ALG3TV1;CCTG ALGECIRAS TV;258,5;Combined Cycle GT;REPSB;ALG3
ALGAL;18W000000000FFCR;ALGAL;ALGAL;3,7;Solar PV;GNRA;FVGNRA
ALGICA1;18W-ALGICA1-9--1;ALGICA1;ALGICA1;10,5;Competitive suppliers;COALG;ALGICA1
ALHAM;18WALHAM-1234--T;ALHAM;FALHAM;5,8;Solar PV;GNRA;ALHAM
ALHAMB;18WALHAMB-123-E6;ALHAMB;P.E. ALHAMBRA;34,0;Wonshore wind;EGED;EGREEN1
ALHEN1;18W000000000ROHG;UFALHENDI1;UF FV ALHENDIN I;36,7;Solar PV;IGNIS;BAYWA1
ALHEN2;18W000000000ROIE;ALHENDIN2;UF FV ALHENDIN II;4,0;Solar PV;IGNIS;UPBAYWA
ALHEN3;18W000000000ROJC;ALHENDIN3;UF FV ALHENDIN III;4,3;Solar PV;IGNIS;BAYWA3
ALHUELA;18W000000000P2CQ;ALHUELA;ALDEHUELA;1,4;Hydro non UGH;EGLE;HRPI
ALIAGAR;18W000000000LCOP;ALIAGAR;FV EL ALIAGAR 2 FASE 2;45,0;Solar PV;WMARK;FALIAGA
ALIJAR;18WALIJAR-123-EX;ALIJAR;P.E. ALIJAR;24,0;Wonshore wind;EGED;EGREEN
ALIJAR2;18W000000000GAEY;ALIJAR2;ALIJAR2;28,8;Wonshore wind;SEDAE;EALIJA2
ALIOC01;18W000000000Q0GK;ALIOC01;COMPRA ALIO;1,0;Competitive suppliers;ALIOE;ALIOC01
ALIWIN;18W000000000L9CL;ALIWIN;UF SOLAR ALIWIN;19,9;Solar PV;NEXU;FALIWN
ALIZAR;18W000000000MELL;ALIZARSUN;ALIZARSUN;41,5;Solar PV;HISPE;FALIZAR
ALJORA;18W000000000GEYJ;ALJORRA;FV ALJORRA;27,1;Solar PV;NEXU;FALJORR
ALLUEVA;18W000000000F5XF;PE ALLUEVA;PE ALLUEVA;25,2;Wonshore wind;ECYR;EEGPES
ALM1;18WALM1-12345-AQ;ALMOGUER 1;ALMOGUERA 1;2,5;Hydro UGH;GNFG;UFTA
ALM2;18WALM2-12345-AG;ALMOGUER 2;ALMOGUERA 2;2,7;Hydro UGH;GNFG;UFTA
ALM3;18WALM3-12345-A6;ALMOGUER 3;ALMOGUERA 3;2,8;Hydro UGH;GNFG;UFTA
ALMAC01;18W-ALMAC01-7--H;ALUM MAEST;ALUMINIOS DEL MAESTRE;29,2;Market direct consumption;ALMAE;ALMAC01
ALMANDO;18WALMANDO-123-C;ALMANDO;C.H. ALMANDOZ;2,9;Hydro non UGH;EGED;HFEGED
ALMANS2;18W000000000SMDQ;ALMANSA II;FV ALMANSA II;2,6;Solar PV;DREUA;FDREU14
ALMANSA;18W000000000SMBU;ALMANSA I;FV ALMANSA I;4,6;Solar PV;DREUA;FDREU13
ALMAREN;18WPE-ALMAREN--4;ALMAREN;P.E.ALMAREN UNIFICADO;11,9;Wonshore wind;ECYR;EREGPEM
ALMAZ1;18W000000000NEVY;ALMAZ1;FV ALMARAZ 1;40,4;Solar PV;IBGES;FIIBGES
ALMEND1;18WALMEND1-123-M;ALMEND1;P.E. LOS ALMENDROS I;20,0;Wonshore wind;IBGES;EHIBGES
ALMENDA;18WALMENDA-12-EF;ALMENDA;P. E. ALMENDARACHE;21,0;Wonshore wind;NEXU;EWIESRB
ALMENDR;18WALMENDR-123-P;ALMENDR;P.E. LOS ALMENDROS II;28,0;Wonshore wind;IBGES;EHIBGES
ALMERIQ;18WJ-ALMERIQUESF;ALMERIQ;P.E. LOS ALMERIQUES;27,5;Wonshore wind;NEXU;EALMERI
ALMNDRO;18W000000000MGWU;ALMNDRO;UF EOLICA ALMENDRO;43,5;Wonshore wind;GNCO;EGASNE2
ALMNSA;18W000000000GETT;ALMANSA;UF FV ALMANSA;45,1;Solar PV;NEXU;FALMANS
ALMO1;18W000000000T65C;ALMO1;ALMO1;38,2;Solar PV;CEG;FALMO1
ALMODOV;18WALMODOV-12-ET;ALMODOVAR;P. E. ALMODOVAR;12,8;Wonshore wind;EGED;EGREEN
ALMOF;18W000000000D4N9;ALMOFREI;AMOFREI;1,2;Hydro non UGH;GNRA;HFGNRA
